id,date,session_start_time,session_end_time,event_start_time,event_end_time,timezone,session_title,title,type,speakers,description,location,format,registration_url,visible,expandable
E0005,2026-09-24,,,11:10 AM,11:22 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
E0006,2026-09-24,,,11:22 AM,11:36 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
E0007,2026-09-24,,,11:36 AM,11:50 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
LUNCH,2026-09-24,,,12:00 PM,1:00 PM,America/New_York,LUNCH,,,,,,,,,
E0008,2026-09-24,,,1:00 PM,2:00 PM,America/New_York,Panel: The Future of Research Infrastructure: A Dialogue with Funding Agencies,,,,,,,,,
E0009,,,,2:00 PM,3:30 PM,America/New_York,Posters,,,,,,,,,
E0010,2026-09-24,,,3:30 PM,3:42 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0011,2026-09-24,,,3:42 PM,3:56 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0012,2026-09-24,,,3:56 PM,4:08 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0013,2026-09-24,,,4:08 PM,4:20 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0014,2026-09-24,,,4:20 PM,4:32 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0015,2026-09-24,,,4:32 PM,4:44 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0016,2026-09-24,,,4:44 PM,4:56 PM,America/New_York,"Session 2: Data Foundations: FAIR, Governed, Shared, Verifiable",,,,,,,,,
E0017,,,,,,America/New_York,"Session 3: AI Inside the Gateway: Agents, Assistants and Guardrails",,,,,,,,,
E0018,,,,,,America/New_York,"Session 3: AI Inside the Gateway: Agents, Assistants and Guardrails",,,,,,,,,
